names,locations,prices,ratings,images
D Bali Residence,"Denpasar Barat, Denpasar",IDR 194.400,2.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/562786d8-dfaa-4878-9350-aaf70253fa7f-1604132042031-d4f67fe740d0e0cc38b2708d02d20340.jpg
Hotel Intansari,"Denpasar Barat, Denpasar",,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/27/4177019a-5bac-4416-904d-9179102cd723-1603731979591-362d6c53335e3f3af68f6144ef73f51c.jpg
Merak Lifestyle Hotel,"Denpasar Barat, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/19/bbda81df-fd09-4f71-9408-b528620b2324-1605738265236-8d64fe3852eacb3456eef1fa86861bb3.jpg
Hotel Nikki Denpasar,"Denpasar Utara, Denpasar",,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/fd920a7d-935c-496d-8219-439e4f3ec5ee-1603880899934-b6a1b316a97baff4a8fc811d3e7b792e.jpg
Bali True Living Apartment,"Denpasar Barat, Denpasar",IDR 197.999,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/31/3d73eded-1125-49af-87c8-cea991061979-1612046442921-371153f0c7998b1f188917c6d9d47568.jpg
Mahatma Residence,"Denpasar Selatan, Denpasar",IDR 237.200,3.4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/54fb5dd1-411d-4a9f-b9f7-6619a5584162-1605466647375-72750764b2c1b74192faccbb7976a145.jpg
Hotel Grand Santhi,"Denpasar Barat, Denpasar",IDR 277.200,3.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/dc2331e3-c47b-4468-a6ae-74ec9cbc37a8-1604179758289-4432371decd7cd8d18971710a82ec03a.jpg
Puri Saron Hotel Denpasar,"Denpasar Barat, Denpasar",IDR 99.225,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/de04c9a0-9056-423c-9b6f-77825ca30d7d-1603879631597-3b1df76cda01ba668a6740ba74d0cbf5.jpg
Catur Adi Putra Hotel,"Denpasar Barat, Denpasar",IDR 413.039,3.4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/fec60d29-ed4d-4020-8b42-bea113519e10-1615551419013-56c82572a80d257d6356b45ade9b78fd.jpg
Adikara Renon,"Denpasar Selatan, Denpasar",IDR 170.986,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/28/ef14e853-ad70-489c-8653-4931a8e58dc7-1611829509367-5b32cafae217aa9804997cee59d511a8.jpg
HARRIS Hotel & Residences Sunset Road,"Pemogan, Denpasar",IDR 237.204,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/75ad06f0-a2ee-4518-b401-7d203e2c1c2e-1603874223552-55dc58177bd6a9e609566c6a82d801bc.jpg
Hotel Nuansa Indah,"Denpasar Utara, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/1d445713-4c04-4652-b055-0042e3643ee8-1616067922025-305e958d3bb9a90dea36e08229e6bf09.jpg
Ibis Styles Bali Denpasar,"Denpasar Barat, Denpasar",IDR 288.328,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/24/f52e8360-e669-4b51-8966-f1bcc19f6923-1632471666439-4d6bc8f8f25e974a0469358ca10841e4.jpg
Choice Stay Hotel Denpasar,"Denpasar Barat, Denpasar",IDR 268.226,4.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/70c535fb-cd21-4896-88ea-7bcbed14c4d1-1604138739829-a6be45f0909152ee5cdc7d517ce6fba5.jpg
Inna Grand Bali Beach,"Denpasar Selatan, Denpasar",IDR 345.248,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/16acfa1b-6e34-4a5b-a1b9-1a6286d295fa-1604164761294-83ce61a395df31b7ce9443759889d870.jpg
Neo Denpasar Hotel by ASTON,"Denpasar Barat, Denpasar",IDR 152.595,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/04/09/24130015-bc80-4e1b-83fd-8e7e4ff88d15-1617933312448-6d3ba7ebf5c3e29d0f6fa2b9efc81a5e.jpg
Praja Hotel Denpasar,"Denpasar Selatan, Denpasar",IDR 227.635,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/6a1a03d9-03ac-4fa4-b1ae-0cbd519a0f8a-1603891161268-4bf8a35b99cec25131b5e1c98a1588b2.jpg
Koi Hotel and Residence,"Denpasar Barat, Denpasar",IDR 231.547,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/b96aa068-cbba-4e67-93d8-ec3bd53b8b59-1602756847885-915d2501438d81a3f3134ec14780abe5.jpg
The Yani Hotel,"Denpasar Selatan, Denpasar",IDR 179.869,3.4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/368e659a-191b-48ff-bfa4-971c61132789-1603874901332-18ba3b2edf549c457b77985ce0d913de.jpg
Dee Mansion Bali,"Denpasar Barat, Denpasar",IDR 121.725,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/833b0db7-ba5e-4925-ad2a-66016cdb2af7-1603910255991-efd89acfce896931238a139d4aaf6633.jpg
Uma de Villa Sanur,"Denpasar Selatan, Denpasar",IDR 245.000,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/13/1990b58a-31d6-407b-bc1b-e39504e4a59a-1602541522850-16227b43aeb4fc5eb5e9c2eba61ca009.jpg
